Altitude,Latitude,Longitude,Injury.Severity,Aircraft.Damage,Number.of.Engines,Engine.Type,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Total.Passengers
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,588,VMC,STANDING,588
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,4,TURBO FAN,UNKNOWN,0,0,0,588,VMC,TAXI,588
202.7,41.968611,-87.907778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,501,VMC,STANDING,501
202.7,41.968611,-87.907778,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,501,VMC,TAXI,501
215.4,35.213611,-80.948889,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,454,VMC,STANDING,454
215.4,35.213611,-80.948889,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,454,VMC,TAXI,454
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,UNKNOWN,UNKNOWN,0,4,34,384,,DESCENT,422
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,4,TURBO JET,UNKNOWN,0,0,0,394,,TAKEOFF,394
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,393,VMC,TAKEOFF,393
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,TURBO FAN,UNKNOWN,0,1,4,380,VMC,CLIMB,385
2.3,25.793333,-80.290555,INCIDENT,MINOR,4,TURBO FAN,UNKNOWN,0,0,0,368,VMC,TAXI,368
705.5,55.216389,160.109722,INCIDENT,MINOR,4,TURBO FAN,UNKNOWN,0,0,0,367,UNK,CRUISE,367
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,4,UNKNOWN,UNKNOWN,0,0,0,365,,LANDING,365
124,47.449722,-122.311667,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,352,VMC,TAXI,352
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,4,TURBO FAN,UNKNOWN,0,0,2,338,VMC,LANDING,340
367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO PROP,UNKNOWN,0,0,0,339,VMC,TAXI,339
367.2,39.16472292,-96.61041184,NON-FATAL,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,339,VMC,TAXI,339
180.5,41.983889,-87.663611,INCIDENT,SUBSTANTIAL,2,UNKNOWN,UNKNOWN,0,0,0,324,VMC,APPROACH,324
180.5,41.983889,-87.663611,INCIDENT,SUBSTANTIAL,2,UNKNOWN,UNKNOWN,0,0,0,324,VMC,APPROACH,324
1635.6,39.861667,-104.673056,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,324,VMC,STANDING,324
1635.6,39.861667,-104.673056,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,324,VMC,TAXI,324
3.1,37.618889,-122.374723,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,311,VMC,STANDING,312
2.2,37.613333,-122.363889,FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,3,50,137,117,VMC,APPROACH,307
304.8,33.636666,-84.428056,INCIDENT,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,0,0,306,VMC,DESCENT,306
18.3,38.9,-77.033334,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,301,VMC,STANDING,301
18.3,38.9,-77.033334,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,301,VMC,TAXI,301
304.8,33.636666,-84.428056,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,0,0,298,VMC,TAXI,298
304.8,33.636666,-84.428056,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,298,VMC,TAXI,298
2,21.318611,-157.9225,NON-FATAL,DESTROYED,2,TURBO FAN,UNKNOWN,0,1,3,291,VMC,CRUISE,295
2.3,25.793333,-80.290555,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,294,VMC,STANDING,294
2.3,25.793333,-80.290555,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,294,VMC,TAXI,294
367.2,39.16472292,-96.61041184,NON-FATAL,DESTROYED,3,TURBO FAN,UNKNOWN,0,1,9,282,VMC,TAKEOFF,292
4.7,42.353333,-71.014444,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,291,VMC,TAXI,291
4.7,42.353333,-71.014444,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,291,VMC,STANDING,291
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,289,VMC,CRUISE,289
367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,288,VMC,TAXI,288
